Year,Month,Day,Hour,Minute,Total Wind Output (kW)
2012,1,28,5,0,161278.5
2012,1,28,6,0,161278.5
2012,1,28,7,0,161278.5
2012,1,28,8,0,161278.5
2012,1,28,9,0,161278.5
2012,1,28,10,0,161278.5
2012,1,28,11,0,161278.5
2012,1,28,12,0,161278.5
2012,1,28,13,0,161278.5
2012,1,28,14,0,161278.5
2012,1,28,15,0,161278.5
2012,1,28,16,0,154116.5
2012,1,28,17,0,161278.5
2012,1,28,18,0,161278.5
2012,1,28,19,0,161278.5
2012,1,28,20,0,161278.5
2012,1,28,21,0,161278.5
2012,1,28,22,0,161278.5
2012,1,28,23,0,161278.5
2012,1,29,0,0,161278.5
2012,1,29,1,0,161278.5
2012,1,29,2,0,161278.5
2012,1,29,3,0,161278.5
2012,1,29,4,0,125150.3
2012,1,29,5,0,106347.3
2012,1,29,6,0,106211.6
2012,1,29,7,0,83094.4
2012,1,29,8,0,79862.1
2012,1,29,9,0,54196
2012,1,29,10,0,51517.5
2012,1,29,11,0,39867.7
2012,1,29,12,0,35554.72
2012,1,29,13,0,30933.24
2012,1,29,14,0,20784.87
2012,1,29,15,0,14948.61
2012,1,29,16,0,11814.24
2012,1,29,17,0,13866.57
2012,1,29,18,0,9027
2012,1,29,19,0,2582.86
2012,1,29,20,0,435.819
2012,1,29,21,0,0
2012,1,29,22,0,0
2012,1,29,23,0,0
2012,1,30,0,0,0
2012,1,30,1,0,0
2012,1,30,2,0,2807.833
2012,1,30,3,0,3703.64
2012,1,30,4,0,8055.45
2012,1,30,5,0,8604.31
2012,1,30,6,0,8790.87
2012,1,30,7,0,8780.19
2012,1,30,8,0,11094.88
2012,1,30,9,0,13526.74
2012,1,30,10,0,13332.77
2012,1,30,11,0,27219.12
2012,1,30,12,0,41872.2
2012,1,30,13,0,63338.8
2012,1,30,14,0,83850
2012,1,30,15,0,113328.2
2012,1,30,16,0,144399.6
2012,1,30,17,0,65521.6
2012,1,30,18,0,98607.6
2012,1,30,19,0,96469.6
2012,1,30,20,0,72925.9
2012,1,30,21,0,53066
2012,1,30,22,0,45163
2012,1,30,23,0,43571.51
2012,1,31,0,0,44033.4
2012,1,31,1,0,46356.4
2012,1,31,2,0,47480.3
2012,1,31,3,0,43549.5
2012,1,31,4,0,36628.1
2012,1,31,5,0,31168.31
2012,1,31,6,0,28965.75
2012,1,31,7,0,20030.2
2012,1,31,8,0,9234.75
2012,1,31,9,0,11497.12
2012,1,31,10,0,6550.35
2012,1,31,11,0,0
2012,1,31,12,0,0
2012,1,31,13,0,4751.51
2012,1,31,14,0,7841.78
2012,1,31,15,0,9302.77
2012,1,31,16,0,8907.31
2012,1,31,17,0,5989.522
2012,1,31,18,0,8493.71
2012,1,31,19,0,17352.12
2012,1,31,20,0,14983
2012,1,31,21,0,12456.08
2012,1,31,22,0,5950.94
2012,1,31,23,0,2337.192
2012,2,1,0,0,0
2012,2,1,1,0,2353.82
2012,2,1,2,0,2122.526
2012,2,1,3,0,605.595
2012,2,1,4,0,510.94
2012,2,1,5,0,637.146
2012,2,1,6,0,1014.632453
2012,2,1,7,0,167.667
2012,2,1,8,0,0
2012,2,1,9,0,0
2012,2,1,10,0,0
2012,2,1,11,0,0
2012,2,1,12,0,3365.26
2012,2,1,13,0,29663
2012,2,1,14,0,68542.5
2012,2,1,15,0,80150.6
2012,2,1,16,0,48104.3
2012,2,1,17,0,57798.3
2012,2,1,18,0,80197.1
2012,2,1,19,0,56624.5
2012,2,1,20,0,65174.8
2012,2,1,21,0,155793.8
2012,2,1,22,0,160034.8
2012,2,1,23,0,154217.4
2012,2,2,0,0,161278.5
2012,2,2,1,0,114223.9
2012,2,2,2,0,40816.6
2012,2,2,3,0,0
2012,2,2,4,0,0
2012,2,2,5,0,6724.29
2012,2,2,6,0,0
2012,2,2,7,0,0
2012,2,2,8,0,2822.022
2012,2,2,9,0,1876.072
2012,2,2,10,0,29987.87
2012,2,2,11,0,96380.9
2012,2,2,12,0,80444
2012,2,2,13,0,71127.9
2012,2,2,14,0,48505.7
2012,2,2,15,0,35069.64
2012,2,2,16,0,23214.39
2012,2,2,17,0,18848
2012,2,2,18,0,25139.21
2012,2,2,19,0,64425.82
2012,2,2,20,0,44389.1
2012,2,2,21,0,56660.7
2012,2,2,22,0,69042.2
2012,2,2,23,0,60880.7
2012,2,3,0,0,61341
2012,2,3,1,0,95737.4
2012,2,3,2,0,73090.6
2012,2,3,3,0,72435
2012,2,3,4,0,38982.6
2012,2,3,5,0,22627.74
2012,2,3,6,0,34496.97
2012,2,3,7,0,34971.6
2012,2,3,8,0,38458.8
2012,2,3,9,0,52414.1
2012,2,3,10,0,60605.1
2012,2,3,11,0,46455.6
2012,2,3,12,0,42547.7
2012,2,3,13,0,57415.8
2012,2,3,14,0,76146.4
2012,2,3,15,0,88128.7
2012,2,3,16,0,87652.3
2012,2,3,17,0,84451.3
2012,2,3,18,0,79503
2012,2,3,19,0,59450.9
2012,2,3,20,0,91217
2012,2,3,21,0,81610.5
2012,2,3,22,0,84338.9
2012,2,3,23,0,71523.8
2012,2,4,0,0,66662.9
2012,2,4,1,0,64583.6
2012,2,4,2,0,80170.8
2012,2,4,3,0,82386.4
2012,2,4,4,0,80614.4
2012,2,4,5,0,73870.9
2012,2,4,6,0,64239.5
2012,2,4,7,0,69628.9
2012,2,4,8,0,71600.3
2012,2,4,9,0,71681
2012,2,4,10,0,64643.1
2012,2,4,11,0,64199.7
2012,2,4,12,0,61823.6
2012,2,4,13,0,66195.1
2012,2,4,14,0,64859.7
2012,2,4,15,0,65139.6
2012,2,4,16,0,61356.4
2012,2,4,17,0,58840.8
2012,2,4,18,0,56576.1
2012,2,4,19,0,55868.5
2012,2,4,20,0,50478.2
2012,2,4,21,0,55129.9
2012,2,4,22,0,65268.2
2012,2,4,23,0,55060.2
2012,2,5,0,0,45701.5
2012,2,5,1,0,46605.9
2012,2,5,2,0,33177.75
2012,2,5,3,0,30636.95
2012,2,5,4,0,29631.84
2012,2,5,5,0,26088.5
2012,2,5,6,0,27337.8
2012,2,5,7,0,21116.87
2012,2,5,8,0,21335.63
2012,2,5,9,0,27680.06
2012,2,5,10,0,28819.78
2012,2,5,11,0,25529.27
2012,2,5,12,0,32545.37
2012,2,5,13,0,31835.06
2012,2,5,14,0,33306.42
2012,2,5,15,0,32604.43
2012,2,5,16,0,30650.02
2012,2,5,17,0,28689.35
2012,2,5,18,0,31763.8
2012,2,5,19,0,31656.7
2012,2,5,20,0,32710.93
2012,2,5,21,0,36384.06
2012,2,5,22,0,34478.8
2012,2,5,23,0,32383.53
2012,2,6,0,0,25598.15
2012,2,6,1,0,17529.68
2012,2,6,2,0,12697.91
2012,2,6,3,0,11334.12
2012,2,6,4,0,17184.7
2012,2,6,5,0,17150.34
2012,2,6,6,0,19349.46
2012,2,6,7,0,21881.39
2012,2,6,8,0,21310.8
2012,2,6,9,0,24936.04
2012,2,6,10,0,19920.04
2012,2,6,11,0,19455.09
2012,2,6,12,0,16446.21
2012,2,6,13,0,21994
2012,2,6,14,0,31684.05
2012,2,6,15,0,37485.03
2012,2,6,16,0,33064.38
2012,2,6,17,0,29890.62
2012,2,6,18,0,32243.3
